id,name,hostingFee,ticketPrice,revenue,funFact,trackImage
1,Las Vegas Grand Prix,0,1617,"$1.2B","Introduced in 2023, the Las Vegas race is contested on a street circuit that spans a portion of the iconic Las Vegas Strip.","https://via.placeholder.com/300?text=Vegas+Track"
2,Qatar Grand Prix,55,330,"$900M","First held in 2021, the race takes place in Doha on a purpose-built street circuit designed specifically for Formula 1.","https://via.placeholder.com/300?text=Qatar+Track"
3,Saudi Arabian Grand Prix,55,391,"$1.0B","Debuting in 2021 at the Jeddah Corniche Circuit, this race is one of the fastest street circuits on the calendar, symbolizing F1’s growing presence in the Gulf region.","https://via.placeholder.com/300?text=Saudi+Track"
4,Monaco Grand Prix,20,764,"$700M","Running since 1929 (in various formats), Monaco remains one of the most prestigious races, drawing a worldwide audience that underscores the sport’s historic glamour and international allure.","https://via.placeholder.com/300?text=Monaco+Track"
5,Miami Grand Prix,15,878,"$950M","Debuted in 2022, this race on a purpose-built circuit is part of F1’s drive to capture the American audience with modern, urban venues.","https://via.placeholder.com/300?text=Miami+Track"
6,Chinese Grand Prix,15,199,"$950M","Held annually at the Shanghai International Circuit from 2004 to 2019, the event played a key role in expanding Formula 1’s presence in Asia before its cancellation due to the COVID-19 pandemic.","https://via.placeholder.com/300?text=Miami+Track"
7,Hungarian Grand Prix,40,207,"$950M","Debuted in 1986 at the Hungaroring, it was the first F1 race held behind the Iron Curtain, marking a significant moment in F1’s globalization into Eastern Europe.","https://via.placeholder.com/300?text=Miami+Track"
8,Japanese Grand Prix,25,264,"$950M","Held at Suzuka, the circuits figure-eight layout is unique in world motorsport and a testament to Japan’s technical and cultural influence on F1.","https://via.placeholder.com/300?text=Miami+Track"
9,Bahrain Grand Prix,52,265,"$950M","Bahrain was the first F1 race in the Middle East and paved the way for further expansion into emerging markets.","https://via.placeholder.com/300?text=Miami+Track"
10,Australian Grand Prix,37,290,"$950M","The Australian Grand Prix was held in Adelaide until 1995 and has been hosted at Melbourne's Albert Park since 1996, often serving as the season's opening round.","https://via.placeholder.com/300?text=Miami+Track"
11,Italian Grand Prix,25,328,"$950M","Held at Monza, cars at the Italian Grand Prix have clocked average lap speeds of over 260 km/h, cementing its reputation as the 'Temple of Speed' on the F1 calendar.","https://via.placeholder.com/300?text=Miami+Track"
12,Canadian Grand Prix,32,336,"$950M","The track’s notorious final chicane earned the nickname 'Wall of Champions' after multiple former F1 World Champions—such as Michael Schumacher, Damon Hill, and Jacques Villeneuve—crashed there.","https://via.placeholder.com/300?text=Miami+Track"
13,Spanish Grand Prix,25,365,"$950M","Hosted at Circuit de Barcelona-Catalunya, which has been on and off the calendar since 1913, the event has evolved to become a testbed for technological and aerodynamic advancements.","https://via.placeholder.com/300?text=Miami+Track"
14,Austrian Grand Prix,25,365,"$950M","Known as the Red Bull Ring since 2014, this home circuit for Red Bull Racing features one of the shortest lap times in F1—often under 70 seconds—making every tiny mistake costly.","https://via.placeholder.com/300?text=Miami+Track"
15,Emilia Romagnan Grand Prix,21,367,"$950M","Imola is one of the few anti-clockwise circuits on the F1 calendar, making it a uniquely demanding test of drivers’ physical endurance.","https://via.placeholder.com/300?text=Miami+Track"
16,Belgium Grand Prix,22,407,"$950M","Running at the historic Spa-Francorchamps since 1950, its legendary Eau Rouge corner and unpredictable weather have made it a perennial favorite among fans worldwide.","https://via.placeholder.com/300?text=Miami+Track"
17,Azerbaijan Grand Prix,57,417,"$950M","Introduced in 2017 in Baku, it features one of the longest straight sections in F1 and has repeatedly produced unexpected safety car periods, emphasizing dynamic street-circuit challenges.","https://via.placeholder.com/300?text=Miami+Track"
18,Sao Paulo Grand Prix,25,441,"$950M","Held at Interlagos since the 1970s, this race has frequently been the championship decider and remains a symbol of F1’s deep roots and fervor in Latin America.","https://via.placeholder.com/300?text=Miami+Track"
19,Dutch Grand Prix,32,503,"$950M","In its modern layout, Zandvoort features a steeply banked Turn 3—up to 18 degrees—creating an unusual high-speed challenge and setting it apart from most other F1 circuits.","https://via.placeholder.com/300?text=Miami+Track"
20,Abu Dhabi Grand Prix,42,526,"$950M","Abu Dhabi pays one of the highest hosting fees on the F1 calendar to guarantee its status as the season’s finale, adding premium exclusivity to the twilight race at Yas Marina.","https://via.placeholder.com/300?text=Miami+Track"
21,Singapore Grand Prix,35,557,"$950M","Due to the punishing humidity, high temperatures, and tight street layout under floodlights, Singapore is often cited as the most physically demanding Grand Prix—drivers routinely lose up to three kilograms of body weight during the race and undergo special heat-acclimation training.","https://via.placeholder.com/300?text=Miami+Track"
22,US Grand Prix,30,671,"$950M","Since 2012 at Circuit of the Americas in Austin, this race has helped F1 build a significant following in North America, contributing to record attendance and viewership numbers.","https://via.placeholder.com/300?text=Miami+Track"
23,British Grand Prix,26,689,"$950M","Held at Silverstone since 1950 (the inaugural World Championship season), this race is a cornerstone of F1 heritage and a continual nod to the sport’s British roots.","https://via.placeholder.com/300?text=Miami+Track"
24,Mexican Grand Prix,30,783,"$950M","Held at around 2,285 meters above sea level, the thin air at Autódromo Hermanos Rodríguez forces teams to adopt high-downforce setups normally reserved for slower circuits, resulting in a unique aerodynamic paradox on a fast track.","https://via.placeholder.com/300?text=Miami+Track"
